Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV_kcal
26.5,23.7,36.7,13.1,5.5,44.5,0.6,35.3,1.0,3043.265909503827
20.21,27.85,31.76,20.18,5.41,43.67,0.7,29.72,0.32,3262.928585768739
30.87,29.31,31.72,8.1,6.47,44.06,0.96,39.2,1.21,2907.1936686410518
31.16,29.0,31.67,8.17,6.29,43.82,0.95,39.46,1.31,2783.816094528654
19.48,30.9,45.45,4.17,6.09,57.82,1.82,29.09,1.01,4489.607118901038
14.51,32.76,42.74,9.99,5.56,56.97,1.06,24.69,1.73,4751.59025530302
33.1,27.2,32.9,6.8,6.6,44.2,0.7,41.2,0.5,2762.566798824009
14.95,32.64,47.17,5.24,5.78,61.86,1.34,25.09,0.69,5102.393298376164
31.4,28.4,33.0,7.2,6.4,45.0,0.7,39.7,1.0,2901.301228030479
26.07,31.02,28.76,14.15,5.71,43.28,0.89,34.97,1.0,2993.790536205636
15.45,31.65,45.28,7.62,5.81,58.41,1.18,25.54,1.44,4882.826707428363
19.41,28.83,44.57,7.19,6.01,55.32,1.77,29.06,0.65,4281.06476380203
34.2,26.7,31.9,7.2,6.7,42.7,0.6,42.2,0.6,2618.504515333845
18.17,31.21,44.79,5.83,5.88,57.31,2.05,27.98,0.95,4549.965402928992
15.94,30.16,44.45,9.45,5.49,57.34,1.35,26.0,0.37,4607.212496982759
30.8,27.6,34.5,7.1,6.2,43.9,0.8,39.2,2.8,2842.1798027187574
24.47,28.19,45.5,1.84,6.18,57.43,0.87,33.58,0.1,4063.4060332996255
21.32,31.78,43.54,3.36,6.08,58.74,0.95,30.79,0.08,4396.612434297612
23.17,31.29,42.92,2.62,6.31,57.69,0.82,32.45,0.11,4191.353596489641
26.84,28.24,43.06,1.86,6.38,55.28,0.61,35.71,0.16,3789.356939432919
25.4,27.44,44.33,2.83,6.19,55.78,0.69,34.44,0.07,3902.8108796037236
18.81,28.43,38.72,14.04,5.62,49.97,1.08,28.59,0.7,3957.8768520063627
19.38,34.13,40.36,6.13,5.87,56.35,1.46,29.1,1.09,4366.345967834136
21.09,29.93,42.97,6.01,6.07,55.13,0.67,30.64,1.48,4122.218633251107
16.01,31.86,45.47,6.66,5.89,59.14,1.12,26.13,1.06,4777.243501580979
25.2,28.36,44.41,2.03,6.23,56.66,0.64,34.33,0.11,3958.9791640502067
22.85,31.1,44.27,1.78,6.34,58.55,0.96,32.26,0.11,4332.565263717141
31.9,26.6,32.5,9.0,6.4,43.2,0.8,40.3,0.3,2747.830095166992
15.0,33.3,43.4,8.3,6.0,58.6,1.0,25.3,0.8,4835.201030822001
29.3,32.1,32.3,6.3,6.7,47.0,1.1,38.0,0.9,3170.622295652916
37.01,28.04,26.37,8.58,6.82,38.7,0.65,44.86,0.39,2242.047206110749
21.79,31.77,44.88,1.56,6.3,59.59,1.03,31.38,0.14,4434.171398714445
14.25,28.78,39.97,17.0,5.01,51.66,1.04,24.7,0.59,4260.606575875824
18.19,30.01,47.9,3.9,5.95,58.22,1.65,28.2,2.08,4611.931872228531
35.5,27.6,30.9,6.0,7.0,42.4,0.6,43.6,0.4,2559.67580283795
21.93,29.46,46.58,2.03,6.19,59.13,1.01,31.56,0.08,4395.941391964644
21.78,31.51,40.73,5.98,6.18,54.43,0.82,31.43,1.16,4089.615226848261
